Región,Distrito,Comuna,Local,Nro. Mesa,Mesas Fusionadas,Electores,Nro. En Voto,Lista,Partido,Candidato,Votos TRICEL
13,10,LA GRANJA,ESCUELA BASICA ISLAS DE CHILE,126,126V,318,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,63,0.19811320754716982
13,10,LA GRANJA,ESCUELA BASICA ISLAS DE CHILE,138,138M,325,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,57,0.1753846153846154
13,10,LA GRANJA,ESCUELA BASICA ISLAS DE CHILE,139,139M,340,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,59,0.17352941176470588
13,10,MACUL,ESTADIO MONUMENTAL,2,2M,346,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,70,0.2023121387283237
13,10,MACUL,ESTADIO MONUMENTAL,3,3M,342,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,69,0.20175438596491227
13,10,MACUL,ESTADIO MONUMENTAL,6,6M,346,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,88,0.2543352601156069
13,10,MACUL,ESTADIO MONUMENTAL,6,6V,342,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,61,0.1783625730994152
13,10,MACUL,ESTADIO MONUMENTAL,7,7M,342,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,69,0.20175438596491227
13,10,MACUL,ESTADIO MONUMENTAL,7,7V,340,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,67,0.19705882352941176
13,10,MACUL,ESTADIO MONUMENTAL,8,8M,344,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,68,0.19767441860465115
13,10,MACUL,ESTADIO MONUMENTAL,8,8V,344,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,56,0.16279069767441862
13,10,MACUL,ESTADIO MONUMENTAL,9,9M,340,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,62,0.18235294117647058
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 2,26,26,340,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,57,0.1676470588235294
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 2,32,32,345,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,59,0.17101449275362318
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 2,35,35,340,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,68,0.2
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 2,40,40,345,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,82,0.23768115942028986
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,43,43,347,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,58,0.16714697406340057
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,44,44,342,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,57,0.16666666666666666
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,52,52,336,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,63,0.1875
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,53,53,342,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,64,0.1871345029239766
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,56,56,344,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,57,0.16569767441860464
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,60,60,328,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,54,0.16463414634146342
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,62,62,324,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,53,0.16358024691358025
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,63,63,323,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,62,0.19195046439628483
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,64,64,196,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,48,0.24489795918367346
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,65,65,305,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,69,0.2262295081967213
13,10,MACUL,ESCUELA BASICA JULIO BARRENECHEA,133,133V,270,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,50,0.18518518518518517
13,10,MACUL,ESCUELA BASICA JULIO BARRENECHEA,138,138V,266,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,47,0.17669172932330826
13,10,MACUL,ESCUELA BASICA JULIO BARRENECHEA,140,140V,272,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,54,0.19852941176470587
13,10,MACUL,ESCUELA JULIO MONTT SALAMANCA E-194 ,127,127M-128M,429,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,70,0.16317016317016317
13,10,MACUL,ESCUELA JULIO MONTT SALAMANCA E-194 ,129,129M-130M,418,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,71,0.16985645933014354
13,10,MACUL,ESCUELA JULIO MONTT SALAMANCA E-194 ,133,133M-135M,449,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,78,0.17371937639198218
13,10,MACUL,ESCUELA JULIO MONTT SALAMANCA E-194 ,136,136M-137M,446,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,82,0.18385650224215247
13,10,MACUL,ESCUELA JULIO MONTT SALAMANCA E-194 ,144,144M-60V,450,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,79,0.17555555555555555
13,10,MACUL,ESCUELA JULIO MONTT SALAMANCA E-194 ,145,145M-67V,438,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,78,0.1780821917808219
13,10,MACUL,ESCUELA JULIO MONTT SALAMANCA E-194 ,150,150M,287,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,46,0.1602787456445993
13,10,MACUL,ESCUELA JULIO MONTT SALAMANCA E-194 ,151,151M,294,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,61,0.20748299319727892
13,10,MACUL,ESCUELA JULIO MONTT SALAMANCA E-194 ,152,152M,287,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,57,0.1986062717770035
13,10,MACUL,GIMNASIO MUNICIPAL,50,50V,301,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,50,0.16611295681063123
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 2,30,30M,317,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,52,0.1640378548895899
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 2,36,36M,321,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,55,0.17133956386292834
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 2,40,40M,317,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,54,0.17034700315457413
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 3,52,52M,317,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,59,0.1861198738170347
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 3,57,57M,307,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,56,0.18241042345276873
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 3,58,58M,315,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,51,0.1619047619047619
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 3,59,59M,317,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,53,0.167192429022082
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 3,60,60M,318,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,77,0.24213836477987422
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 4,72,72M,277,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,50,0.18050541516245489
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 4,75,75M,281,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,51,0.18149466192170818
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 4,76,76M,281,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,51,0.18149466192170818
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 4,78,78M,268,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,46,0.17164179104477612
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 4,79,79M,282,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,46,0.16312056737588654
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 4,83,83M,282,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,52,0.18439716312056736
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 4,84,84M,294,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,54,0.1836734693877551
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 4,86,86M,312,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,62,0.1987179487179487
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 4,87,87M,294,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,54,0.1836734693877551
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,88,88M,305,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,52,0.17049180327868851
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,91,91M,257,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,51,0.19844357976653695
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,92,92M,264,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,76,0.2878787878787879
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,93,93M,276,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,54,0.1956521739130435
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,94,94M,288,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,60,0.20833333333333334
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,95,95M,274,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,58,0.2116788321167883
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,96,96M,261,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,53,0.20306513409961685
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,97,97M,296,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,64,0.21621621621621623
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,100,100M,293,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,49,0.16723549488054607
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,101,101M,311,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,62,0.19935691318327975
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,102,102M,299,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,54,0.1806020066889632
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,103,103M,301,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,53,0.1760797342192691
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,104,104M,307,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,62,0.20195439739413681
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,105,105M,309,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,71,0.2297734627831715
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,106,106M,322,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,68,0.2111801242236025
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,107,107M,230,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,54,0.23478260869565218
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 5,108,108,227,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,46,0.2026431718061674
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 7,27,27V,317,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,59,0.1861198738170347
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 8,58,58V,271,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,47,0.17343173431734318
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 8,61,61V,272,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,48,0.17647058823529413
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 8,62,62V,254,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,44,0.1732283464566929
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 8,67,67V,266,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,43,0.16165413533834586
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 8,69,69V,287,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,49,0.17073170731707318
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,70,70V,288,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,49,0.1701388888888889
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,76,76V,246,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,46,0.18699186991869918
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,78,78V,261,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,48,0.1839080459770115
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,79,79V,268,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,51,0.19029850746268656
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,80,80V,272,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,56,0.20588235294117646
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,81,81V,286,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,54,0.1888111888111888
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,85,85V,300,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,59,0.19666666666666666
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,86,86V,304,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,52,0.17105263157894737
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,87,87V,303,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,57,0.18811881188118812
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,88,88V,302,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,64,0.2119205298013245
13,10,ÑUÑOA,ESTADIO NACIONAL  LOCAL: 9,89,89V,228,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,41,0.17982456140350878
13,10,ÑUÑOA,COLEGIO SANTO TOMAS ,70,70M,254,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,50,0.1968503937007874
13,10,ÑUÑOA,COLEGIO SANTO TOMAS ,72,72M,244,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,40,0.16393442622950818
13,10,ÑUÑOA,COLEGIO SANTO TOMAS ,75,75M,256,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,44,0.171875
13,10,ÑUÑOA,COLEGIO SANTO TOMAS ,78,78M,260,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,46,0.17692307692307693
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,80,80M,275,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,50,0.18181818181818182
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,81,81M,266,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,44,0.16541353383458646
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,82,82M,265,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,45,0.16981132075471697
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,85,85M,271,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,58,0.2140221402214022
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,86,86M,273,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,49,0.1794871794871795
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,88,88M,278,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,68,0.2446043165467626
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,89,89M,292,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,78,0.2671232876712329
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,90,90M,293,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,53,0.18088737201365188
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,91,91M,293,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,60,0.20477815699658702
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,92,92M,298,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,65,0.2181208053691275
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,94,94M,302,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,62,0.2052980132450331
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,95,95M,310,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,62,0.2
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,96,96M,302,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,55,0.18211920529801323
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,97,97M,314,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,71,0.22611464968152867
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,98,98M,319,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,70,0.219435736677116
13,10,ÑUÑOA,COLEGIO SANTO TOMAS  LOCAL: 2,99,99M,305,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,68,0.22295081967213115
13,10,ÑUÑOA,ESC.PRESIDENTE EDUARDO FREI MONTALVA,40,40M,321,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,55,0.17133956386292834
13,10,ÑUÑOA,ESC.PRESIDENTE EDUARDO FREI MONTALVA,46,46M,301,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,59,0.19601328903654486
13,10,ÑUÑOA,ESC.PRESIDENTE EDUARDO FREI MONTALVA,47,47M,318,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,51,0.16037735849056603
13,10,ÑUÑOA,ESC.PRESIDENTE EDUARDO FREI MONTALVA,48,48M,319,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,58,0.18181818181818182
13,10,ÑUÑOA,ESC.PRESIDENTE EDUARDO FREI MONTALVA,55,55M-76V,417,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,75,0.17985611510791366
13,10,ÑUÑOA,ESCUELA REPUBLICA DE SIRIA,19,19V,310,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,50,0.16129032258064516
13,10,ÑUÑOA,ESCUELA REPUBLICA DE SIRIA,20,20V,306,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,53,0.17320261437908496
13,10,ÑUÑOA,ESCUELA REPUBLICA DE SIRIA,23,23V,295,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,62,0.21016949152542372
13,10,ÑUÑOA,ESCUELA REPUBLICA DE SIRIA,24,24V,306,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,58,0.1895424836601307
13,10,ÑUÑOA,LICEO AUGUSTO D HALMAR,23,23M,323,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,66,0.2043343653250774
